,year,avg_vote,genre_1,genre_2,genre_2
319,1923,6.8,Drama,,
320,1923,5.2,Drama,,
321,1923,7.5,Drama,Romance,
322,1923,6.6,Adventure,Romance,Western
323,1923,6.6,Comedy,Romance,
324,1923,6.9,Drama,,
325,1924,7.1,Drama,Romance,
326,1923,5.5,Adventure,Crime,Drama
327,1923,7.2,Drama,Horror,Romance
328,1923,6.2,Comedy,Romance,
329,1923,7.8,Comedy,Romance,Thriller
330,1923,7.4,Comedy,,
331,1923,6.8,Drama,,
332,1923,6.5,Romance,Comedy,
333,1923,7.5,Drama,,
334,1923,8.1,Action,Comedy,Thriller
335,1923,7.0,Drama,Romance,
336,1923,6.7,Drama,Romance,
337,1923,6.5,Drama,,
338,1923,7.0,Comedy,Drama,Romance
339,1923,7.0,Drama,,
340,1924,6.2,Drama,,
341,1923,6.8,Biography,Drama,Fantasy
342,1923,7.1,Comedy,,
343,1924,6.6,Fantasy,Horror,
344,1923,6.4,Drama,Romance,
345,1923,6.8,Drama,Romance,
346,1923,6.2,Crime,Drama,Mystery
347,1923,7.4,Adventure,Comedy,Family
348,1923,7.0,Drama,Romance,
349,1923,6.2,Romance,Drama,
350,1924,6.6,Adventure,Comedy,Drama
351,1924,6.4,Drama,History,War
352,1924,6.7,Drama,History,Romance
353,1923,5.9,Drama,Romance,Sci-Fi
354,1924,6.9,Drama,,
355,1923,6.5,Adventure,Drama,
356,1924,5.7,Drama,Horror,Romance
357,1924,6.9,Drama,History,Romance
358,1924,6.5,Drama,,
359,1924,6.3,Drama,,
360,1925,6.8,Drama,Romance,
361,1924,6.4,Comedy,,
362,1924,6.1,Comedy,,
363,1924,7.7,Comedy,Romance,
364,1924,7.8,Drama,Romance,Thriller
365,1924,6.8,Comedy,Romance,
366,1924,7.2,Comedy,,
367,1924,7.2,Adventure,Drama,Mystery
368,1924,7.2,History,Romance,Western
369,1924,6.9,Drama,Romance,
370,1924,5.7,Drama,History,Romance
371,1924,6.7,Drama,,
372,1924,8.1,Drama,,
373,1924,6.5,Drama,Comedy,
374,1924,7.2,Comedy,,
375,1924,7.1,Drama,Romance,
376,1924,5.7,Drama,Romance,
377,1924,7.7,Action,Comedy,Romance
378,1924,6.6,Comedy,,
379,1924,7.9,Adventure,Drama,Fantasy
380,1924,8.1,Adventure,Drama,Fantasy
381,1924,4.7,Comedy,,
382,1924,7.1,Crime,Horror,Mystery
383,1924,6.8,Comedy,Romance,
384,1924,7.2,Sci-Fi,,
385,1924,7.1,Adventure,Fantasy,Family
386,1924,7.1,Drama,,
387,1924,6.3,Drama,History,
388,1924,7.0,Adventure,Drama,Romance
389,1924,5.5,Drama,,
390,1924,8.2,Action,Comedy,Romance
391,1925,7.6,Drama,,
392,1924,7.7,Adventure,Family,Fantasy
393,1924,6.3,Drama,,
394,1924,6.8,Drama,Romance,
395,1924,5.9,Comedy,Drama,
396,1924,5.8,Romance,,
397,1926,7.8,Animation,Adventure,Family
398,1925,7.9,Drama,Romance,War
399,1925,6.2,Drama,,
400,1925,7.0,Western,,
401,1925,8.0,Drama,History,Thriller
402,1925,6.3,Drama,,
403,1925,6.6,Adventure,Romance,Western
404,1925,6.4,Drama,Romance,
405,1925,7.0,Adventure,Romance,
406,1925,7.1,Drama,,
407,1925,6.6,Action,Comedy,Drama
408,1925,6.3,Drama,Fantasy,
409,1926,7.1,Drama,,
410,1925,7.5,Comedy,Family,Romance
411,1925,7.2,Drama,,
412,1926,5.8,Drama,,
413,1926,6.6,Drama,Romance,
414,1925,7.2,Comedy,Western,
415,1925,8.2,Adventure,Comedy,Drama
416,1925,6.9,Drama,,
417,1924,8.1,Drama,Thriller,Western
418,1926,6.9,Drama,,
419,1925,6.5,Comedy,,
420,1925,6.6,Biography,Drama,History
421,1925,7.3,Comedy,,
422,1925,6.6,Drama,Romance,
423,1925,5.0,Drama,,
424,1925,7.2,Action,Comedy,Drama
425,1925,6.0,Drama,Romance,
426,1925,6.7,Drama,Comedy,
427,1935,7.1,Comedy,Family,Musical
428,1925,7.0,Adventure,Fantasy,Thriller
429,1925,7.3,Drama,Romance,
430,1925,6.2,Comedy,Horror,Mystery
431,1925,6.4,Drama,,
432,1925,7.1,Action,Adventure,
433,1925,6.2,Crime,Drama,Romance
434,1925,6.7,Comedy,Crime,Romance
435,1925,7.6,Horror,,
436,1925,6.0,Comedy,Romance,Sport
437,1925,6.0,Drama,Romance,
438,1925,7.0,Drama,,
439,1925,6.8,Drama,,
440,1925,3.7,Comedy,Drama,
441,1925,7.1,Drama,Comedy,
442,1925,6.6,Biography,Drama,Romance
443,1925,6.4,Action,Drama,Western
444,1925,6.8,Drama,Fantasy,Romance
445,1925,6.6,Comedy,,
446,1925,3.8,Comedy,Drama,
447,1925,6.7,Drama,,
448,1925,7.9,Comedy,Romance,
449,1925,6.1,Adventure,Fantasy,Sci-Fi
450,1925,4.1,Drama,,
451,1924,6.4,Drama,,
452,1925,6.5,Comedy,,
453,1925,7.2,Drama,,
454,1925,6.5,Western,,
455,1925,7.2,Crime,Drama,Romance
456,1925,6.8,Western,,
457,1925,7.4,Crime,Drama,Romance
458,1925,7.7,Drama,Mystery,Romance
459,1926,6.7,Comedy,Drama,Fantasy
460,1925,5.1,Comedy,Family,Fantasy
461,1925,5.8,Adventure,Drama,Romance
462,1925,6.9,Comedy,Drama,
463,1925,6.8,Comedy,,
464,1925,5.4,Action,Comedy,Drama
465,1925,6.6,Drama,,
466,1926,7.0,Drama,Romance,
467,1926,6.5,Mystery,Thriller,
468,1926,7.0,Action,Comedy,Romance
469,1926,7.0,Action,Adventure,Drama
470,1926,6.5,Crime,Drama,Horror
471,1926,6.3,Comedy,War,Drama
472,1926,5.9,Comedy,Romance,
473,1926,7.1,Adventure,Action,
474,1926,6.8,Crime,Drama,Romance
475,1926,5.5,Action,Drama,
476,1926,7.3,Drama,Romance,
477,1926,5.0,Comedy,Romance,
